year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2010,Ralston P.D.,Sarpy,11,2,0,2,0,0,,,,,"5,943",2.2,
2010,Schuyler P.D.,Colfax,6,2,0,2,0,0,,,,,"6,211",1.3,
2010,Scottsbluff P.D.,Scotts Bluff,29,2,1,4,0,0,1,,,,"15,039",2.1,
2010,Seward P.D.,Seward,8,1,1,1,3,0,2,,,,"6,964",1.3,
2010,So. Sioux City P.D.,Dakota,26,1,0,1,0,2,1,,,,"13,353",2,
2010,Sidney P.D.,Cheyenne,12,0,0,2,0,1,2,,,,"6,757",1.8,
2010,Wayne P.D.,Wayne,8,1,2,3,1,1,,,,,"5,660",1.6,
2010,York P.D.,York,13,0,1,5,0,0,1,,,,"7,766",1.7,
2011,Alliance P.D.,Box Butte,16,2,0,7,0,2,,,,,"8,567",2.1,
2011,Beatrice P.D.,Gage,17,4,3,7,0,3,,,,,"12,570",1.7,
2011,Bellevue P.D.,Sarpy,90,8,3,12,0,9,,,2,,"50,584",1.9,
2011,Blair P.D.,Washington,17,0,1,2,2,2,,,,,"8,061",2.1,
2011,Chadron P.D.,Dawes,13,1,3,3,0,2,,,,,"5,903",2.4,
2011,Columbus P.D.,Platte,33,3,2,13,0,0,,,2,,"22,308",1.6,
2011,Crete P.D.,Saline,9,2,2,5,0,1,,,,,"7,022",1.6,3
2011,Fremont P.D.,Dodge,35,2,1,9,4,4,3,,,,"26,633",1.4,4
2011,Gering P.D.,Scotts Bluff,14,1,0,3,0,0,,,,,"8,576",1.7,
2011,Grand Island P.D.,Hall,71,6,1,10,0,5,,,,2,"48,953",1.6,
2011,Hastings P.D.,Adams,30,5,0,11,0,5,3,,1,,"25,129",1.4,3
2011,Holdrege P.D.,Phelps,10,0,1,5,0,0,,,,,"5,544",1.8,
2011,Kearney P.D.,Buffalo,52,3,5,9,0,0,,,,,"31,062",1.8,
2011,LaVista P.D.,Sarpy,32,2,1,4,0,1,,,,,"15,899",2.1,
2011,Lexington P.D.,Dawson,15,1,0,2,0,0,2,,,,"10,321",1.6,
2011,Lincoln P.D.,Lancaster,280,47,29,65,0,9,,,2,,"260,685",1.3,
2011,McCook P.D.,Red Willow,16,0,1,4,1,4,,,,,"7,767",2.1,
2011,Nebraska City P.D.,Otoe,13,1,0,1,0,0,,,,,"7,354",1.9,
2011,Norfolk P.D.,Madison,37,1,4,16,0,0,,,,,"24,426",1.6,
2011,North Platte P.D.,Lincoln,39,0,4,19,0,1,3,,2,,"24,954",1.6,
2011,Omaha P.D.,Douglas,632,146,36,110,36,28,11,,29,,"412,608",1.9,
2011,Papillion P.D.,Sarpy,33,5,1,3,0,1,1,,,,"19,063",2,
2011,Plattsmouth P.D.,Cass,14,0,0,3,0,0,,,,,"6,560",2.1,3
2011,Ralston P.D.,Sarpy,11,2,0,2,0,0,,,,,"5,996",2.2,
2011,Schuyler P.D.,Colfax,7,1,0,2,0,0,,,,,"6,266",1.3,
