year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2014,Seward PD,Seward,9,1,1,0,2,0,1.0,0.0,0.0,0.0,7155,1.7,0.0
2014,Sidney PD,Cheyenne,11,1,0,0,2,0,2.0,0.0,0.0,0.0,6853,2.0,0.0
2014,So Sioux City PD,Dakota,26,1,0,0,1,1,0.0,0.0,0.0,0.0,13436,2.1,0.0
2014,Wayne PD,Wayne,7,0,1,0,3,1,1.0,0.0,0.0,0.0,5511,1.8,0.0
2014,York PD,York,15,0,0,0,6,0,0.0,0.0,0.0,0.0,8012,2.6,0.0
2015,Alliance PD,Box Butte,14,2,1,5,0,0,0.0,0.0,0.0,0.0,"8,502",1.9,0.0
2015,Beatrice PD,Gage,17,4,5,8,0,0,1.0,0.0,0.0,0.0,"12,092",1.7,0.0
2015,Bellevue PD,Sarpy,88,8,4,10,0,6,1.0,0.0,1.0,0.0,"54,251",1.8,0.0
2015,Blair PD,Washington,16,1,0,2,1,1,0.0,2.0,0.0,0.0,"7,986",2.1,0.0
2015,Chadron PD,Dawes,11,0,4,2,0,1,4.0,0.0,0.0,0.0,"5,773",1.9,0.0
2015,Columbus PD,Platte,32,4,3,11,0,1,0.0,0.0,0.0,0.0,"22,614",1.6,0.0
2015,Crete PD,Saline,9,3,0,0,3,1,0.0,0.0,0.0,0.0,"7,171",1.7,0.0
2015,Fremont PD,Dodge,33,2,0,5,2,1,3.0,0.0,0.0,0.0,"26,322",1.3,3.0
2015,Gering PD,Scotts Bluff,16,0,0,3,0,0,0.0,0.0,0.0,0.0,"8,469",1.9,0.0
2015,Grand Island PD,Hall,80,7,3,14,0,5,0.0,0.0,0.0,1.0,"50,999",1.7,0.0
2015,Hastings PD,Adams,34,5,1,16,0,2,0.0,0.0,0.0,0.0,"25,070",1.6,0.0
2015,Holdrege PD,Phelps,9,0,1,5,0,0,1.0,0.0,0.0,0.0,"5,536",1.6,0.0
2015,Kearney PD,Buffalo,52,3,6,8,0,0,0.0,0.0,0.0,0.0,"32,513",1.7,0.0
2015,LaVista PD,Sarpy,30,2,1,4,0,1,2.0,0.0,0.0,0.0,"17,955",1.8,0.0
2015,Lexington PD,Dawson,19,0,0,2,0,0,1.0,0.0,0.0,0.0,"10,195",1.9,0.0
2015,Lincoln PD,Lancaster,273,51,59,99,0,5,0.0,0.0,0.0,0.0,"271,208",1.2,0.0
2015,McCook PD,Red Willow,15,1,1,4,0,1,0.0,0.0,0.0,1.0,"7,697",2.1,0.0
2015,Nebraska City PD,Otoe,13,1,0,1,0,0,0.0,0.0,0.0,0.0,"7,243",1.9,0.0
2015,Norfolk PD,Madison,39,1,3,14,0,0,0.0,0.0,0.0,0.0,"24,588",1.6,0.0
