County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Nemaha,Auburn P.D.,97,138,114,138,117,128,112,147,97,102,58,46,55,0,0,0,0,1349
Nemaha,Nebraska State Patrol,1,1,1,2,0,0,1,4,1,5,2,3,0,0,1,0,1,23
Nuckolls,Nuckolls CO. S.O.,0,0,0,0,0,0,0,0,0,0,7,8,5,0,0,0,0,20
Nuckolls,Superior P.D.,5,2,4,11,18,6,9,10,10,7,15,18,27,26,28,43,40,279
Nuckolls,Nebraska State Patrol,1,1,0,0,4,1,0,0,1,1,0,0,0,0,2,0,0,11
Otoe,Otoe CO. S.O.,81,11,109,162,121,80,0,0,113,8,5,127,92,0,4,78,72,1063
Otoe,Nebraska City P.D.,303,438,414,392,402,420,402,353,316,321,260,266,309,309,397,263,429,5994
Otoe,Syracuse P.D.,26,30,26,25,28,22,22,14,0,0,0,0,0,0,0,0,0,193
Otoe,Nebraska State Patrol,4,1,0,0,2,1,2,0,3,0,0,3,0,1,0,1,1,19
Pawnee,Pawnee CO. S.O.,20,71,88,43,80,76,59,33,63,24,30,49,26,53,46,30,55,846
Pawnee,Nebraska State Patrol,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,6
Perkins,Perkins CO. S.O.,53,51,40,43,53,37,41,32,53,40,34,32,20,26,26,57,26,664
Perkins,Nebraska State Patrol,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
Phelps,Phelps CO. S.O.,55,63,89,29,54,61,53,54,51,54,64,70,77,48,47,53,40,962
Phelps,Holdrege P.D.,295,77,278,320,286,291,266,236,190,188,213,183,186,220,199,187,206,3821
Phelps,Nebraska State Patrol,2,0,0,0,9,1,3,2,0,3,4,5,1,1,1,4,2,38
Pierce,Pierce CO. S.O.,42,46,37,65,26,8,0,0,0,15,12,48,40,41,35,19,18,452
Pierce,Pierce P.D.,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Pierce,Plainview P.D.,22,24,17,13,12,28,7,18,13,12,26,12,6,0,5,4,10,229
Pierce,Nebraska State Patrol,16,4,4,15,13,6,5,3,1,6,4,1,3,2,3,2,0,88
Platte,Platte CO. S.O.,197,213,240,218,235,286,319,315,249,198,188,182,210,165,131,99,130,3575
Platte,Columbus P.D.,1055,778,723,673,662,777,896,818,819,626,683,689,624,664,525,502,645,12159
Platte,Nebraska State Patrol,4,4,0,3,3,1,0,1,0,0,2,2,1,2,0,1,0,24
Polk,Polk CO. S.O.,88,73,89,84,49,20,61,78,69,77,87,82,52,74,88,74,35,1180
Polk,Nebraska State Patrol,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5
Red Willow,Red Willow CO. S.O.,58,30,26,33,35,58,80,45,38,39,16,37,42,40,40,35,31,683
Red Willow,McCook P.D.,414,369,377,387,451,424,325,437,368,322,295,305,341,292,333,286,269,5995
