year,department,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2011,Norfolk P.D.,37,1,4,16,0,0,,,,,"24,426",1.6,
2011,North Platte P.D.,39,0,4,19,0,1,3,,2,,"24,954",1.6,
2011,Omaha P.D.,632,146,36,110,36,28,11,,29,,"412,608",1.9,
2011,Papillion P.D.,33,5,1,3,0,1,1,,,,"19,063",2,
2011,Plattsmouth P.D.,14,0,0,3,0,0,,,,,"6,560",2.1,3
2011,Ralston P.D.,11,2,0,2,0,0,,,,,"5,996",2.2,
2011,Schuyler P.D.,7,1,0,2,0,0,,,,,"6,266",1.3,
2011,Scottsbluff P.D.,29,2,1,4,0,0,,,,,"15,173",2,
2011,Seward P.D.,10,1,1,1,0,0,,,,,"7,026",1.6,2
2011,Sidney P.D.,14,0,0,2,0,1,,,,,"6,817",2.1,
2011,So. Sioux City P.D.,26,1,0,1,0,2,,,,,"13,472",2,
2011,Wayne P.D.,5,1,2,2,0,0,3,1,1,1,"5,711",1.1,
2011,York P.D.,13,0,1,5,0,0,1,,,,"7,835",1.7,
2012,Alliance P.D.,15,2,0,8,0,0,1,,,,"8,608",2,
2012,Beatrice P.D.,18,4,4,6,0,0,,,,,"12,388",1.8,
2012,Bellevue P.D.,86,8,5,9,0,8,2,,2,1,"51,678",1.8,
2012,Blair P.D.,15,0,1,2,2,2,2,,,,"8,069",1.9,
2012,Chadron P.D.,11,2,4,2,0,1,1,,,1,"5,901",2.2,
2012,Columbus P.D.,32,3,2,14,0,0,1,,1,,"22,537",1.6,
2012,Crete P.D.,9,2,2,4,0,1,,,,,"7,077",1.6,3
2012,Fremont P.D.,35,2,1,9,0,6,2,,,,"26,641",1.4,4
2012,Gering P.D.,14,1,0,3,0,0,,,,,"8,578",1.7,
2012,Grand Island P.D.,70,6,1,9,0,7,6,5,4,,"49,583",1.5,
2012,Hastings P.D.,32,5,0,11,0,6,2,,1,,"24,961",1.5,3
2012,Holdrege P.D.,9,0,1,5,0,0,1,,,,"5,531",1.6,
2012,Kearney P.D.,51,2,4,8,0,0,1,,1,,"31,392",1.7,
2012,LaVista P.D.,32,2,2,3,0,1,,,,,"16,242",2.1,
2012,Lexington P.D.,17,1,0,2,0,0,,,,,"10,329",1.7,
2012,Lincoln P.D.,273,47,28,66,0,10,,,,,"264,175",1.2,
2012,McCook P.D.,14,1,1,4,1,2,1,,,1,"7,735",1.9,
2012,Nebraska City P.D.,13,1,0,1,0,0,2,,,,"7,366",1.9,
2012,Norfolk P.D.,36,1,3,14,0,0,1,,,,"24,418",1.5,
2012,North Platte P.D.,40,1,4,21,0,1,1,,,,"24,806",1.7,
2012,Omaha P.D.,646,149,38,110,36,25,4,,25,,"417,970",1.9,
2012,Papillion P.D.,34,5,1,3,0,1,,,,,"19,466",2,
2012,Plattsmouth P.D.,13,1,0,3,0,0,,,,,"6,534",2.1,2
2012,Ralston P.D.,11,2,0,2,0,0,,,,,"6,077",2.1,
2012,Schuyler P.D.,7,1,0,2,0,0,,,,,"6,313",1.3,
2012,Scottsbluff P.D.,26,2,1,4,0,0,4,,,,"15,174",1.8,
2012,Seward P.D.,10,1,1,1,1,0,,,,,"6,995",1.6,
2012,Sidney P.D.,14,0,0,2,0,1,,,,,"6,789",2.1,
2012,So. Sioux City P.D.,26,1,0,1,0,2,,,,,"13,386",2,
2012,Wayne P.D.,7,0,4,1,1,0,2,,,,"5,652",1.2,
2012,York P.D.,13,0,1,5,0,0,1,,,,"7,857",1.7,
2013,Alliance P.D.,15,1,0,6,0,0,0,0,1,0,"8,510",1.9,0
2013,Beatrice P.D.,18,3,4,6,0,2,0,0,0,0,"12,055",1.7,0
2013,Bellevue P.D.,88,6,6,9,0,8,2,0,1,1,"53,023",1.8,0
2013,Blair P.D.,15,0,1,2,2,2,2,1,0,0,"7,978",1.9,0
2013,Chadron P.D.,12,2,3,3,0,1,0,0,0,0,"5,845",2.4,0
2013,Columbus P.D.,33,3,2,14,0,0,0,0,0,1,"22,624",1.6,0
2013,Crete P.D.,9,2,4,1,3,2,1,0,0,0,"7,238",1.6,0
2013,Fremont P.D.,33,2,0,4,1,0,4,0,1,0,"26,098",1.3,3
2013,Gering P.D.,14,0,0,3,0,0,1,0,0,0,"8,480",1.6,0
2013,Grand Island P.D.,76,8,1,13,0,6,3,0,0,1,"50,441",1.7,0
2013,Hastings P.D.,33,5,1,13,0,4,0,0,0,0,"25,012",1.5,3
2013,Holdrege P.D.,10,0,2,4,0,0,0,0,0,0,"5,548",1.8,0
2013,Kearney P.D.,51,2,4,9,0,0,0,0,0,0,"32,113",1.7,0
2013,LaVista P.D.,31,2,1,4,0,1,1,0,0,0,"17,790",2,0
2013,Lexington P.D.,17,1,0,2,0,0,1,0,0,0,"10,204",1.7,0
2013,Lincoln P.D.,270,51,47,88,0,12,0,0,15,0,"267,565",1.2,0
2013,McCook P.D.,14,2,1,4,0,2,0,0,0,0,"7,639",2.1,0
2013,Nebraska City P.D.,12,1,0,1,0,0,0,0,0,0,"7,269",1.8,0
2013,Norfolk P.D.,38,0,4,16,0,0,0,0,0,0,"24,362",1.6,0
