"","year","department","county","ft_so_m","ft_so_f","ft_c_m","ft_c_f","pt_so","pt_c","us_so_ft","us_so_pt","us_c_ft","us_c_pt","pop_covered","so_per_1000","num_res_so","total_crime","total_so","total_c","crime_per_1000","total_so_change"
"108",2010,"Lincoln PD","Lancaster",278,47,18,67,0,9,0,0,1,0,258379,1.3,0,15314,325,85,0.0592695226779266,2
"109",2010,"McCook PD","Red Willow",16,0,0,4,1,1,0,0,1,2,7698,2.1,0,295,16,4,0.0383216419849312,0
"110",2010,"Nebraska City PD","Otoe",14,1,0,1,0,0,0,0,0,0,7289,2.1,0,260,15,1,0.0356701879544519,0
"111",2010,"Norfolk PD","Madison",37,2,2,13,0,1,0,0,0,0,24210,1.6,0,1070,39,15,0.0441966129698472,0
"112",2010,"North Platte PD","Lincoln",41,0,5,20,0,1,1,0,0,0,24733,1.7,0,2198,41,25,0.0888691222253669,0
"113",2010,"Omaha PD","Douglas",641,148,34,95,37,27,31,0,49,0,408958,1.9,0,23719,789,129,0.0579986208852743,0
"114",2010,"Papillion PD","Sarpy",34,5,1,3,0,1,0,0,0,0,18894,2.1,0,536,39,4,0.0283687943262411,0
"115",2010,"Plattsmouth PD","Cass",14,0,0,3,0,0,2,0,0,3,6502,2.2,3,243,14,3,0.0373731159643187,0
"116",2010,"Ralston PD","Sarpy",11,2,0,2,0,0,0,0,0,0,5943,2.2,0,203,13,2,0.0341578327444052,0
"117",2010,"Schuyler PD","Colfax",6,2,0,2,0,0,0,0,0,0,6211,1.3,0,0,8,2,0,0
"118",2010,"Scottsbluff PD","Scotts Bluff",29,2,1,4,0,0,1,0,0,0,15039,2.1,0,1148,31,5,0.0763348626903385,0
"119",2010,"Seward PD","Seward",8,1,1,1,3,0,2,0,0,0,6964,1.3,0,123,9,2,0.0176622630672028,0
"120",2010,"So Sioux City PD","Dakota",26,1,0,1,0,2,1,0,0,0,13353,2,0,406,27,1,0.0304051524002097,0
"121",2010,"Sidney PD","Cheyenne",12,0,0,2,0,1,2,0,0,0,6757,1.8,0,147,12,2,0.0217552168121948,0
"122",2010,"Wayne PD","Wayne",8,1,2,3,1,1,0,0,0,0,5660,1.6,0,145,9,5,0.0256183745583039,0
"123",2010,"York PD","York",13,0,1,5,0,0,1,0,0,0,7766,1.7,0,255,13,6,0.0328354365181561,0
"124",2011,"Alliance PD","Box Butte",16,2,0,7,0,2,0,0,0,0,8567,2.1,0,318,18,7,0.0371191782420917,-1
"125",2011,"Beatrice PD","Gage",17,4,3,7,0,3,0,0,0,0,12570,1.7,0,677,21,10,0.0538583929992045,1
"126",2011,"Bellevue PD","Sarpy",90,8,3,12,0,9,0,0,2,0,50584,1.9,0,2034,98,15,0.040210343191523,-4
"127",2011,"Blair PD","Washington",17,0,1,2,2,2,0,0,0,0,8061,2.1,0,175,17,3,0.0217094653268825,-2
"128",2011,"Chadron PD","Dawes",13,1,3,3,0,2,0,0,0,0,5903,2.4,0,215,14,6,0.0364221582246315,-1
"129",2011,"Columbus PD","Platte",33,3,2,13,0,0,0,0,2,0,22308,1.6,0,689,36,15,0.0308857808857809,-1
"130",2011,"Crete PD","Saline",9,2,2,5,0,1,0,0,0,0,7022,1.6,3,287,11,7,0.0408715465679294,0
"131",2011,"Fremont PD","Dodge",35,2,1,9,4,4,3,0,0,0,26633,1.4,4,1142,37,10,0.0428791349078211,0
"132",2011,"Gering PD","Scotts Bluff",14,1,0,3,0,0,0,0,0,0,8576,1.7,0,205,15,3,0.0239039179104478,0
"133",2011,"Grand Island PD","Hall",71,6,1,10,0,5,0,0,0,2,48953,1.6,0,3149,77,11,0.0643270075378424,-1
"134",2011,"Hastings PD","Adams",30,5,0,11,0,5,3,0,1,0,25129,1.4,3,1341,35,11,0.0533646384655179,2
"135",2011,"Holdrege PD","Phelps",10,0,1,5,0,0,0,0,0,0,5544,1.8,0,183,10,6,0.033008658008658,-1
"136",2011,"Kearney PD","Buffalo",52,3,5,9,0,0,0,0,0,0,31062,1.8,0,1262,55,14,0.0406284205781984,-2
"137",2011,"LaVista PD","Sarpy",32,2,1,4,0,1,0,0,0,0,15899,2.1,0,450,34,5,0.0283036668972891,0
"138",2011,"Lexington PD","Dawson",15,1,0,2,0,0,2,0,0,0,10321,1.6,0,508,16,2,0.0492200368181378,2
"139",2011,"Lincoln PD","Lancaster",280,47,29,65,0,9,0,0,2,0,260685,1.3,0,15091,327,94,0.057889790360013,-7
"140",2011,"McCook PD","Red Willow",16,0,1,4,1,4,0,0,0,0,7767,2.1,0,305,16,5,0.0392687009141239,-1
"141",2011,"Nebraska City PD","Otoe",13,1,0,1,0,0,0,0,0,0,7354,1.9,0,266,14,1,0.0361707914060375,0
"142",2011,"Norfolk PD","Madison",37,1,4,16,0,0,0,0,0,0,24426,1.6,0,972,38,20,0.0397936624907885,0
"143",2011,"North Platte PD","Lincoln",39,0,4,19,0,1,3,0,2,0,24954,1.6,0,1875,39,23,0.0751382543880741,0
"144",2011,"Omaha PD","Douglas",632,146,36,110,36,28,11,0,29,0,412608,1.9,0,25255,778,146,0.0612082170001551,0
"145",2011,"Papillion PD","Sarpy",33,5,1,3,0,1,1,0,0,0,19063,2,0,505,38,4,0.0264911084299428,0
"146",2011,"Plattsmouth PD","Cass",14,0,0,3,0,0,0,0,0,0,6560,2.1,3,274,14,3,0.0417682926829268,0
"147",2011,"Ralston PD","Sarpy",11,2,0,2,0,0,0,0,0,0,5996,2.2,0,229,13,2,0.0381921280853903,0
"148",2011,"Schuyler PD","Colfax",7,1,0,2,0,0,0,0,0,0,6266,1.3,0,0,8,2,0,0
"149",2011,"Scottsbluff PD","Scotts Bluff",29,2,1,4,0,0,0,0,0,0,15173,2,0,1008,31,5,0.0664337968760298,0
"150",2011,"Seward PD","Seward",10,1,1,1,0,0,0,0,0,0,7026,1.6,2,144,11,2,0.0204953031596926,0
"151",2011,"Sidney PD","Cheyenne",14,0,0,2,0,1,0,0,0,0,6817,2.1,0,114,14,2,0.0167228986357635,0
"152",2011,"So Sioux City PD","Dakota",26,1,0,1,0,2,0,0,0,0,13472,2,0,491,27,1,0.0364459619952494,0
"153",2011,"Wayne PD","Wayne",5,1,2,2,0,0,3,1,1,1,5711,1.1,0,0,6,4,0,0
"154",2011,"York PD","York",13,0,1,5,0,0,1,0,0,0,7835,1.7,0,259,13,6,0.0330567964262923,0
"155",2012,"Alliance PD","Box Butte",15,2,0,8,0,0,1,0,0,0,8608,2,0,0,17,8,0,-1
"156",2012,"Beatrice PD","Gage",18,4,4,6,0,0,0,0,0,0,12388,1.8,0,641,22,10,0.0517436228608331,-1
"157",2012,"Bellevue PD","Sarpy",86,8,5,9,0,8,2,0,2,1,51678,1.8,0,1893,94,14,0.036630674561709,0
"158",2012,"Blair PD","Washington",15,0,1,2,2,2,2,0,0,0,8069,1.9,0,197,15,3,0.0244144255793779,0
"159",2012,"Chadron PD","Dawes",11,2,4,2,0,1,1,0,0,1,5901,2.2,0,248,13,6,0.0420267751228605,1
"160",2012,"Columbus PD","Platte",32,3,2,14,0,0,1,0,1,0,22537,1.6,0,624,35,16,0.027687802280694,1
"161",2012,"Crete PD","Saline",9,2,2,4,0,1,0,0,0,0,7077,1.6,3,325,11,6,0.0459234138759361,0
"162",2012,"Fremont PD","Dodge",35,2,1,9,0,6,2,0,0,0,26641,1.4,4,1067,37,10,0.0400510491347922,-2
"163",2012,"Gering PD","Scotts Bluff",14,1,0,3,0,0,0,0,0,0,8578,1.7,0,192,15,3,0.0223828398228025,-1
"164",2012,"Grand Island PD","Hall",70,6,1,9,0,7,6,5,4,0,49583,1.5,0,3059,76,10,0.0616945324002178,8
"165",2012,"Hastings PD","Adams",32,5,0,11,0,6,2,0,1,0,24961,1.5,3,1431,37,11,0.0573294339169104,1
"166",2012,"Holdrege PD","Phelps",9,0,1,5,0,0,1,0,0,0,5531,1.6,0,186,9,6,0.0336286385825348,1
"167",2012,"Kearney PD","Buffalo",51,2,4,8,0,0,1,0,1,0,31392,1.7,0,1270,53,12,0.0404561671763507,0
"168",2012,"LaVista PD","Sarpy",32,2,2,3,0,1,0,0,0,0,16242,2.1,0,389,34,5,0.0239502524319665,-1
"169",2012,"Lexington PD","Dawson",17,1,0,2,0,0,0,0,0,0,10329,1.7,0,459,18,2,0.0444379901248911,0
"170",2012,"Lincoln PD","Lancaster",273,47,28,66,0,10,0,0,0,0,264175,1.2,0,15469,320,94,0.0585558815179332,1
"171",2012,"McCook PD","Red Willow",14,1,1,4,1,2,1,0,0,1,7735,1.9,0,341,15,5,0.0440853264382676,1
"172",2012,"Nebraska City PD","Otoe",13,1,0,1,0,0,2,0,0,0,7366,1.9,0,309,14,1,0.0419494976920988,0
"173",2012,"Norfolk PD","Madison",36,1,3,14,0,0,1,0,0,0,24418,1.5,0,1066,37,17,0.0436563191088541,0
"174",2012,"North Platte PD","Lincoln",40,1,4,21,0,1,1,0,0,0,24806,1.7,0,1883,41,25,0.0759090542610659,0
"175",2012,"Omaha PD","Douglas",646,149,38,110,36,25,4,0,25,0,417970,1.9,0,25663,795,148,0.0613991434791971,0
